seqnames,start,end,Log2FC,FDR,MeanDiff,group_name
chr6,30486111,30486611,2.860059482,0.000105725,0.047054896,C5
chr1,7056412,7056912,4.502882001,0.000105746,0.058808491,C5
chr1,64992802,64993302,4.059091444,0.000105746,0.043376149,C5
chr1,98192553,98193053,4.691061439,0.000105746,0.060304238,C5
chr1,235310542,235311042,4.525333028,0.000105746,0.060932212,C5
chr11,47082260,47082760,4.07027327,0.000105746,0.040343867,C5
chr11,104948077,104948577,3.495989507,0.000105746,0.083913602,C5
chr12,102597761,102598261,4.21136556,0.000105746,0.043755225,C5
chr13,47174694,47175194,2.626375787,0.000105746,0.044302678,C5
chr18,36155475,36155975,2.658295059,0.000105746,0.078662062,C5
chr2,234265426,234265926,2.849717041,0.000105746,0.051881826,C5
chr3,156333498,156333998,3.954640137,0.000105746,0.038148442,C5
chr4,87878314,87878814,3.932198099,0.000105746,0.034644134,C5
chr4,151003343,151003843,3.87018917,0.000105746,0.032545637,C5
chr6,27173722,27174222,4.176857471,0.000105746,0.043101255,C5
chr6,108543190,108543690,2.498397512,0.000105746,0.044479351,C5
chr8,82185074,82185574,4.277575222,0.000105746,0.047523381,C5
chr9,4238404,4238904,4.208403017,0.000105746,0.04471505,C5
chr9,79302983,79303483,1.300230557,0.000105746,0.055083727,C5
chr18,56209463,56209963,1.536297586,0.000105853,0.059005082,C5
chr11,58360124,58360624,3.069786143,0.000105934,0.050504397,C5
chr4,48126829,48127329,1.396455086,0.000105934,0.033117702,C5
chr2,101270083,101270583,3.027722318,0.000105956,0.065179728,C5
chr17,48124792,48125292,2.525392279,0.000105986,0.049790003,C5
chr1,52017548,52018048,4.028961627,0.000106029,0.042021243,C5
chr13,111898270,111898770,4.218459759,0.000106029,0.050972789,C5
chr16,31361479,31361979,1.833236411,0.000106029,0.068746819,C5
chr19,51759522,51760022,3.775413062,0.000106029,0.032715761,C5
chr20,44089834,44090334,4.057443425,0.000106029,0.043215475,C5
chr3,72587176,72587676,3.844123554,0.000106029,0.035838735,C5
chr3,130785536,130786036,4.423731376,0.000106029,0.051206397,C5
chr3,181010737,181011237,3.706384349,0.000106029,0.036333442,C5
chr4,109125642,109126142,3.798924398,0.000106029,0.030903565,C5
chr4,113105535,113106035,4.158844986,0.000106029,0.048194976,C5
chr6,26241647,26242147,3.657180931,0.000106029,0.030119037,C5
chr8,10819312,10819812,4.075411135,0.000106029,0.042218472,C5
chr8,38325928,38326428,1.080648483,0.000106029,0.115605355,C5
chr9,36007235,36007735,4.391991103,0.000106029,0.051426155,C5
chr9,93985278,93985778,4.25740786,0.000106029,0.051183738,C5
chr4,76580690,76581190,1.420401365,0.000106044,0.123891935,C5
chr5,175223803,175224303,1.563075317,0.000106137,0.089907777,C5
chr7,99775405,99775905,1.131803546,0.000106137,0.065781512,C5
chr20,32441214,32441714,2.532342944,0.0001062,0.052649957,C5
chr3,52024977,52025477,2.469131258,0.000106224,0.037988398,C5
chr19,58867235,58867735,2.064088964,0.000106238,0.052067197,C5
chr1,91986609,91987109,4.070759156,0.000106374,0.04462961,C5
chr1,112130024,112130524,4.245813797,0.000106374,0.050441032,C5
chr14,90212941,90213441,3.79813832,0.000106374,0.037635614,C5
chr18,59949507,59950007,4.617158911,0.000106374,0.062320772,C5
chr7,6055201,6055701,4.136582138,0.000106374,0.047575083,C5
chr3,141196052,141196552,3.167285228,0.000106452,0.06614299,C5
chr8,29182949,29183449,1.318771143,0.000106542,0.102613108,C5
chr18,13217642,13218142,1.07074425,0.000106666,0.045755895,C5
chr5,132087104,132087604,1.382024053,0.000106721,0.05934183,C5
chr13,100064137,100064637,3.816132788,0.000106733,0.041518851,C5
chr17,75590887,75591387,3.863435733,0.000106733,0.036104089,C5
chr17,75778211,75778711,3.872686412,0.000106733,0.046225554,C5
chr14,64940849,64941349,2.589859172,0.000106852,0.037078258,C5
chr12,123210507,123211007,2.973888461,0.000107037,0.055397936,C5
chr2,44418831,44419331,2.886153946,0.000107037,0.054357432,C5
chr1,232062071,232062571,4.012767692,0.00010708,0.050984637,C5
chr2,218479193,218479693,3.796039352,0.00010708,0.040858919,C5
chr6,683848,684348,3.703269818,0.00010708,0.035905468,C5
chr8,126175534,126176034,3.78394993,0.00010708,0.035062441,C5
chr11,61523793,61524293,1.93589448,0.000107144,0.082488163,C5
chr10,86027160,86027660,1.542703437,0.000107161,0.105909134,C5
chr1,36877472,36877972,1.19977713,0.00010721,0.104223793,C5
chr1,36765463,36765963,1.651188154,0.000107271,0.099476897,C5
chr17,79215379,79215879,1.729044567,0.000107335,0.070825714,C5
chr4,48048074,48048574,2.826168981,0.000107335,0.042089325,C5
chr7,36567046,36567546,2.360337414,0.000107335,0.04632705,C5
chr2,28550877,28551377,3.53041485,0.000107435,0.031930615,C5
chr5,81931303,81931803,4.46713303,0.000107435,0.064356086,C5
chr1,235072306,235072806,2.902267902,0.000107521,0.062721898,C5
chr20,61530274,61530774,1.755140375,0.000107728,0.069867437,C5
chr12,11288636,11289136,3.867475305,0.000107785,0.047675404,C5
chr13,98112190,98112690,3.436867333,0.000107785,0.02718875,C5
chr2,38302827,38303327,3.215296385,0.000107785,0.022215083,C5
chr6,90686046,90686546,4.188874185,0.000107785,0.055983259,C5
chr8,37390331,37390831,3.507604729,0.000107785,0.032726012,C5
chr9,73134851,73135351,3.611314349,0.000107785,0.035393244,C5
chr6,134674203,134674703,2.851462176,0.000107941,0.043300226,C5
chr10,3878573,3879073,1.336394381,0.00010802,0.07832678,C5
chr1,2756518,2757018,2.115561598,0.00010805,0.079855672,C5
chr9,102848437,102848937,2.501759404,0.000108051,0.054258836,C5
chr1,10340963,10341463,3.713397633,0.000108142,0.038138762,C5
chr11,14916500,14917000,1.863098575,0.000108142,0.042821501,C5
chr14,95727396,95727896,3.328837235,0.000108142,0.025245427,C5
chr3,121974490,121974990,3.798850959,0.000108142,0.039510567,C5
chr4,10274709,10275209,3.761056431,0.000108142,0.042253263,C5
chr4,68446142,68446642,3.642553705,0.000108142,0.039290077,C5
chr4,103710334,103710834,2.926273617,0.000108142,0.052616574,C5
chr8,371216,371716,3.712052694,0.000108142,0.037553362,C5
chr2,204595329,204595829,1.938095449,0.000108193,0.048338375,C5
chr5,141497835,141498335,2.780746321,0.000108212,0.045130029,C5
chr11,35965320,35965820,1.316324796,0.000108228,0.044954639,C5
chr2,73901846,73902346,3.763924804,0.000108476,0.041616655,C5
chr3,124867628,124868128,3.662743447,0.000108476,0.039510167,C5
chr6,8406088,8406588,3.99930977,0.000108476,0.052768736,C5
chr6,150127149,150127649,3.680490803,0.000108476,0.039070032,C5
chr8,37259321,37259821,3.645022287,0.000108476,0.036699987,C5
chr9,20694186,20694686,3.694824733,0.000108476,0.036826549,C5
chr7,139167504,139168004,2.69949571,0.000108599,0.066564292,C5
chr1,115707913,115708413,4.099613011,0.000108829,0.052194494,C5
chr14,71799157,71799657,3.712017523,0.000108829,0.041963751,C5
chr17,76705376,76705876,2.641527975,0.000108829,0.0379943,C5
chr18,43515853,43516353,2.721209924,0.000108829,0.047528658,C5
chr2,119531961,119532461,3.512384632,0.000108829,0.033660638,C5
chr3,178898198,178898698,1.40917573,0.000108829,0.035005233,C5
chr6,53104908,53105408,3.386668511,0.000108829,0.030541117,C5
chr9,98909341,98909841,3.489283165,0.000108829,0.034420699,C5
chr3,69114688,69115188,2.500575267,0.000108932,0.060696661,C5
chr2,149400910,149401410,1.173143121,0.00010895,0.120771403,C5
chr11,117801254,117801754,1.39276406,0.000108963,0.062855151,C5
chr4,38838899,38839399,3.366272539,0.000108992,0.085160179,C5
chr4,42283947,42284447,2.142801432,0.000108992,0.024194709,C5
chr3,177002214,177002714,1.907730485,0.000109108,0.042165488,C5
chr1,186277347,186277847,3.483004757,0.000109189,0.032958571,C5
chr12,40511606,40512106,3.40224367,0.000109189,0.033567317,C5
chr19,11847386,11847886,4.088563287,0.000109189,0.053229015,C5
chr12,95945768,95946268,2.766944465,0.000109283,0.043834918,C5
chr3,151935797,151936297,2.82680149,0.000109283,0.051189604,C5
chr13,23635069,23635569,3.069604197,0.000109551,0.021917083,C5
chr15,33305920,33306420,3.557836113,0.000109551,0.039874843,C5
chr2,7665050,7665550,3.356312686,0.000109551,0.029871102,C5
chr4,147116937,147117437,3.536638776,0.000109551,0.03718694,C5
chr5,34156726,34157226,3.587508272,0.000109551,0.042820104,C5
chr5,55119185,55119685,4.119804926,0.000109551,0.056961004,C5
chr6,139841573,139842073,3.633919043,0.000109551,0.040390531,C5
chr16,28566845,28567345,2.392121098,0.000109621,0.054592839,C5
chr6,144934910,144935410,2.264949036,0.000109621,0.042060651,C5
chrX,39287067,39287567,2.610477036,0.000109706,0.044142179,C5
chr12,57394130,57394630,3.176449467,0.000109864,0.071110705,C5
chr3,18716633,18717133,3.328507518,0.000109901,0.03320531,C5
chr6,111793106,111793606,3.510571954,0.000109901,0.034503209,C5
chr10,75668642,75669142,1.085199969,0.00010992,0.091389854,C5
chr7,110723953,110724453,2.609452988,0.000109987,0.029484447,C5
chr6,112557053,112557553,2.751946721,0.000110149,0.051143006,C5
chr14,55084160,55084660,3.472010758,0.000110252,0.036470245,C5
chr19,42630685,42631185,3.954319455,0.000110252,0.052040145,C5
chr2,24031975,24032475,3.462940519,0.000110252,0.038184082,C5
chr5,54099956,54100456,3.434021076,0.000110252,0.037054756,C5
chr5,95665544,95666044,3.456105714,0.000110252,0.034089955,C5
chr7,107643430,107643930,3.738653836,0.000110252,0.040694581,C5
chr17,40807995,40808495,2.618823393,0.000110293,0.042392013,C5
chr1,234659279,234659779,2.120330811,0.000110392,0.047091922,C5
chr4,113091479,113091979,2.69424681,0.000110423,0.046865281,C5
chr15,80452930,80453430,1.112631656,0.000110508,0.055075012,C5
chr3,31418540,31419040,2.079530756,0.000110578,0.08296825,C5
chr13,37006117,37006617,2.719269751,0.000110602,0.032020006,C5
chr19,51920617,51921117,3.20052939,0.000110602,0.087523781,C5
chr3,192958734,192959234,2.560489487,0.000110602,0.037778986,C5
chr17,277677,278177,4.300764617,0.000110605,0.073979959,C5
chr5,123789079,123789579,3.305940103,0.000110605,0.033984714,C5
chr6,116688905,116689405,3.546096808,0.000110605,0.041774269,C5
chr1,104059208,104059708,2.43593492,0.000110829,0.057817575,C5
chr16,79116781,79117281,2.073841933,0.000110907,0.026392031,C5
chr10,105037150,105037650,2.553523827,0.000110917,0.038197009,C5
chr8,2142890,2143390,2.966717277,0.000110917,0.059872109,C5
chr4,110496024,110496524,2.523183042,0.00011096,0.054251098,C5
chr11,61137716,61138216,3.346145143,0.000110971,0.034918506,C5
chr8,30354124,30354624,3.933104845,0.000110971,0.050779834,C5
chr14,52655975,52656475,2.167081692,0.000111026,0.075357599,C5
chr21,26823914,26824414,3.0253465,0.000111069,0.079966571,C5
chr3,172275682,172276182,2.671131479,0.000111207,0.051926668,C5
chr3,124845015,124845515,2.939511661,0.000111304,0.037323837,C5
chr3,138479790,138480290,3.115182876,0.000111345,0.03062523,C5
chr3,185821704,185822204,3.197974366,0.000111345,0.033162021,C5
chr8,22184974,22185474,1.664409974,0.000111515,0.043625004,C5
chr14,105759537,105760037,1.635797586,0.000111609,0.051914169,C5
chr6,27107622,27108122,1.588282552,0.000111655,0.050961911,C5
chr4,140340465,140340965,2.763117441,0.000111677,0.058754317,C5
chr14,51422354,51422854,3.093195101,0.000111714,0.029787983,C5
chr3,32523465,32523965,3.270178632,0.000111714,0.032459593,C5
chr4,15397757,15398257,1.958867864,0.000111714,0.054370778,C5
chr9,4236055,4236555,3.19164149,0.000111714,0.027825875,C5
chr9,98495545,98496045,3.567006441,0.000111714,0.044939941,C5
chr15,48106172,48106672,2.670686251,0.000111841,0.056134628,C5
chr14,35825356,35825856,1.598777705,0.000111849,0.049058846,C5
chr7,132567410,132567910,1.175985397,0.000112095,0.076663471,C5
chr2,207938108,207938608,3.334842594,0.000112103,0.034278272,C5
chr3,29977607,29978107,3.177343077,0.000112103,0.043866484,C5
chr3,75658012,75658512,2.895283867,0.000112103,0.025186897,C5
chr7,130326299,130326799,3.940383884,0.000112103,0.058750039,C5
chr11,122592497,122592997,1.60462212,0.000112106,0.068150292,C5
chr7,116646904,116647404,2.858176964,0.000112154,0.055703845,C5
chr13,100111364,100111864,3.01723719,0.00011248,0.043788336,C5
chr15,42484142,42484642,2.771387655,0.00011248,0.021496822,C5
chr22,37055700,37056200,2.986785165,0.00011248,0.036653177,C5
chr3,151837306,151837806,3.09489588,0.00011248,0.037095715,C5
chr6,151887631,151888131,3.386359357,0.00011248,0.046546839,C5
chr3,53017478,53017978,1.538020096,0.000112611,0.138940106,C5
chr5,56521362,56521862,2.631633242,0.000112828,0.070924798,C5
chr1,78137980,78138480,2.950005126,0.000112859,0.028883996,C5
chr2,208049446,208049946,2.811814744,0.000112859,0.026017311,C5
chr2,198208680,198209180,1.574638679,0.000113076,0.040478008,C5
chr12,124252091,124252591,2.080004241,0.000113098,0.056489405,C5
chr16,12416897,12417397,1.851627851,0.000113098,0.057009751,C5
chr1,19828722,19829222,2.763323791,0.000113226,0.034993495,C5
chr12,6525688,6526188,2.814036923,0.000113226,0.031610271,C5
chr3,67411642,67412142,2.887391359,0.000113226,0.038259673,C5
chr3,126936925,126937425,2.770571765,0.000113226,0.036563276,C5
chr8,102996011,102996511,2.71489328,0.000113226,0.036568838,C5
chr19,49997431,49997931,2.512954251,0.000113229,0.085757171,C5
chr1,6014959,6015459,1.86255586,0.000113317,0.048563894,C5
chr20,48206779,48207279,2.278121545,0.000113412,0.041835343,C5
chr1,25802730,25803230,1.99176067,0.000113415,0.051648278,C5
chr9,91981568,91982068,2.47945906,0.000113415,0.044264999,C5
chr12,13495829,13496329,2.422389931,0.000113601,0.028334855,C5
chr15,40262038,40262538,2.281839045,0.000113601,0.031861825,C5
chr6,53757374,53757874,2.630171664,0.000113601,0.03095658,C5
chr4,99432265,99432765,1.191658438,0.000113663,0.042193518,C5
chr11,12212020,12212520,2.472589493,0.000113736,0.058716722,C5
chr12,57630113,57630613,2.411458535,0.000113736,0.03752505,C5
chr13,28842906,28843406,1.121551623,0.000113984,0.100490487,C5
chr1,39975274,39975774,2.304194847,0.000114051,0.038572926,C5
chr12,112195422,112195922,2.763755161,0.000114063,0.043179952,C5
chr18,45440077,45440577,2.487824892,0.000114414,0.038744411,C5
chr2,111859107,111859607,2.746698235,0.000114414,0.047602645,C5
chr6,27840771,27841271,1.016502846,0.000114458,0.1218471,C5
chr10,99897748,99898248,1.850836707,0.000114713,0.051454447,C5
chr4,43455017,43455517,2.534639535,0.000114759,0.040585931,C5
chr5,65175412,65175912,2.486629122,0.000115058,0.044906473,C5
chr2,231152761,231153261,1.933825623,0.000115084,0.065443829,C5
chr2,65585014,65585514,2.346523297,0.000115119,0.038028007,C5
chr8,42753278,42753778,2.079594421,0.000115224,0.096782473,C5
chr15,33518716,33519216,1.692205429,0.000115414,0.107358615,C5
chr2,70994334,70994834,2.640350908,0.000115596,0.04649169,C5
chr7,43343440,43343940,2.369455476,0.000115596,0.052179388,C5
chr9,34684055,34684555,2.395053024,0.000115596,0.067192928,C5
chr2,217282355,217282855,2.358150444,0.000115615,0.13108633,C5
chr17,61497237,61497737,2.438818605,0.000115669,0.042475726,C5
chr2,190152590,190153090,2.468462007,0.000115669,0.049179604,C5
chr5,109399851,109400351,2.555503518,0.000115669,0.04436916,C5
chr9,127997284,127997784,2.496478934,0.000115669,0.04232207,C5
chr10,11727197,11727697,1.52534219,0.000115718,0.06626823,C5
chr4,48946790,48947290,2.77691623,0.000116016,0.060610157,C5
chr1,39974653,39975153,2.053310922,0.000116286,0.063280385,C5
chr12,89637510,89638010,2.496657239,0.000116357,0.044140327,C5
chr4,47536178,47536678,2.143026279,0.000116515,0.029222,C5
chr5,127211156,127211656,2.592594906,0.000116692,0.051437789,C5
chr22,46608935,46609435,1.852114909,0.000116824,0.045340342,C5
chr4,78764795,78765295,1.492426044,0.000116851,0.06912814,C5
chr6,170747454,170747954,2.340662257,0.000116865,0.048817322,C5
chr12,262264,262764,1.967990199,0.000116865,0.053809546,C5
chr8,129239386,129239886,2.478317889,0.000117014,0.04633501,C5
chr9,115515919,115516419,1.01427393,0.000117153,0.034441562,C5
chr12,123477955,123478455,1.856374299,0.000117537,0.034248898,C5
chr2,37593868,37594368,2.411262071,0.000117716,0.040487182,C5
chr2,64882359,64882859,1.275288215,0.000117879,0.070813161,C5
chr1,31255642,31256142,2.171524186,0.00011842,0.053371081,C5
chr21,36334806,36335306,2.329887483,0.000118619,0.058499791,C5
chr11,35620320,35620820,2.27336491,0.000118782,0.045806193,C5
chr8,8153752,8154252,2.366096318,0.000118782,0.046115142,C5
chr1,198431399,198431899,2.148935868,0.000118887,0.046597745,C5
chr12,28731594,28732094,2.374663023,0.000118905,0.099595629,C5
chr5,95053833,95054333,1.971538834,0.000119068,0.05163623,C5
chr2,204056637,204057137,1.751862277,0.00011911,0.044783475,C5
chr14,52794870,52795370,2.33187056,0.000119207,0.037770978,C5
chr1,90418506,90419006,1.752418868,0.000119372,0.039411713,C5
chr7,36804513,36805013,2.392794675,0.00011946,0.048898142,C5
chr5,172710716,172711216,1.634292396,0.000119524,0.080682359,C5
chr17,3707744,3708244,1.196847127,0.00011967,0.090522443,C5
chr5,137031476,137031976,2.022877162,0.000119697,0.03748151,C5
chr3,20102416,20102916,1.460996564,0.000120005,0.105833541,C5
chr18,54383774,54384274,1.449157151,0.000120034,0.041156831,C5
chr3,12229723,12230223,2.223134011,0.000120035,0.055874234,C5
chr1,39504293,39504793,2.03393122,0.000120066,0.040001264,C5
chr20,564966,565466,2.066356358,0.000120066,0.040908109,C5
chr2,28083012,28083512,2.428881069,0.000120323,0.083902371,C5
chr15,65677108,65677608,1.080624522,0.000120327,0.100671165,C5
chr20,60944993,60945493,2.131639264,0.000120338,0.060672435,C5
chr5,157809420,157809920,1.683446294,0.000120462,0.061748756,C5
chrX,39674779,39675279,2.468420338,0.000120479,0.054786565,C5
chr1,247056462,247056962,2.200419923,0.000120671,0.049429132,C5
chr1,156791546,156792046,1.446950178,0.000120726,0.082958906,C5
chr21,33244982,33245482,2.083698979,0.00012079,0.032889925,C5
chr1,98256764,98257264,2.320791075,0.000120845,0.049772285,C5
chr11,32109542,32110042,2.21237463,0.000121173,0.051894959,C5
chr11,126175517,126176017,1.049735667,0.000121878,0.059276203,C5
chr14,93195095,93195595,1.702366692,0.000122019,0.108920749,C5
chr4,84034006,84034506,1.776096726,0.000122019,0.060091951,C5
chr5,67737073,67737573,1.163512495,0.000122031,0.084968084,C5
chr8,11020961,11021461,2.42489396,0.000122217,0.052403471,C5
chr19,15394372,15394872,2.85860709,0.000122364,0.112673505,C5
chr1,27775486,27775986,4.138233634,0.000122535,0.033485704,C5
chr1,58994906,58995406,4.27136796,0.000122535,0.036917797,C5
chr1,95185876,95186376,4.578931792,0.000122535,0.046169124,C5
chr1,147041560,147042060,4.318726014,0.000122535,0.038217054,C5
chr1,165358795,165359295,4.039072019,0.000122535,0.031127507,C5
chr1,167177286,167177786,4.34023953,0.000122535,0.038821509,C5
chr1,233040249,233040749,4.145888339,0.000122535,0.033674571,C5
chr1,243802486,243802986,4.209259885,0.000122535,0.035277256,C5
chr10,18988932,18989432,4.077486215,0.000122535,0.032021867,C5
chr10,49597137,49597637,3.811253262,0.000122535,0.02628605,C5
chr10,81741042,81741542,3.403136255,0.000122535,0.019312572,C5
chr10,90744244,90744744,4.209619198,0.000122535,0.035286546,C5
chr10,92776887,92777387,3.919210694,0.000122535,0.028485168,C5
chr10,103139712,103140212,3.730459434,0.000122535,0.024744635,C5
chr10,112601586,112602086,4.217906811,0.000122535,0.035501449,C5
chr11,8245062,8245562,4.251701508,0.000122535,0.036390661,C5
chr11,14392002,14392502,3.929408438,0.000122535,0.028701531,C5
chr11,92415024,92415524,4.117704614,0.000122535,0.032984103,C5
chr11,127973153,127973653,4.350164839,0.000122535,0.039103428,C5
chr11,128180914,128181414,3.99523762,0.000122535,0.030135626,C5
chr12,12464567,12465067,4.364625854,0.000122535,0.039517667,C5
chr12,13689397,13689897,4.492839106,0.000122535,0.043377788,C5
chr12,27617050,27617550,3.949369847,0.000122535,0.0291295,C5
chr12,29473181,29473681,3.962433979,0.000122535,0.029412816,C5
chr12,46845166,46845666,3.967104183,0.000122535,0.029514721,C5
chr12,50643475,50643975,3.807890391,0.000122535,0.026220156,C5
chr12,69298292,69298792,4.050677548,0.000122535,0.031395201,C5
chr12,80009863,80010363,4.185232935,0.000122535,0.034661308,C5
chr13,97768948,97769448,4.264157166,0.000122535,0.036723685,C5
chr14,59200502,59201002,3.899880718,0.000122535,0.028079221,C5
chr14,81987695,81988195,4.292822423,0.000122535,0.037501114,C5
chr14,90408245,90408745,4.254566885,0.000122535,0.036467018,C5
chr14,107069227,107069727,4.117178537,0.000122535,0.032971343,C5
chr15,26150248,26150748,4.013824175,0.000122535,0.030552524,C5
chr15,44992808,44993308,4.299603403,0.000122535,0.037687291,C5
chr15,77055036,77055536,4.016937401,0.000122535,0.030622881,C5
chr15,102001164,102001664,4.103093053,0.000122535,0.032631411,C5
chr16,1358296,1358796,1.077371633,0.000122535,0.075303733,C5
chr16,65357634,65358134,4.408518007,0.000122535,0.040800698,C5
chr16,70973763,70974263,4.369631069,0.000122535,0.039662013,C5
chr16,76966381,76966881,4.975011501,0.000122535,0.061392157,C5
chr17,687330,687830,4.221478879,0.000122535,0.035594456,C5
chr17,9026824,9027324,4.065274137,0.000122535,0.031734959,C5
chr17,16790108,16790608,3.885393802,0.000122535,0.027778529,C5
chr17,44460353,44460853,4.316826318,0.000122535,0.038164111,C5
chr17,54501954,54502454,4.631689208,0.000122535,0.047963808,C5
chr18,19036348,19036848,3.951594243,0.000122535,0.029177559,C5
chr18,49067516,49068016,4.260237254,0.000122535,0.036618569,C5
chr2,3645117,3645617,4.400751812,0.000122535,0.040570829,C5
chr2,9346265,9346765,2.08740384,0.000122535,0.044727381,C5
chr2,10169696,10170196,3.614008379,0.000122535,0.022669446,C5
chr2,29346461,29346961,3.949661562,0.000122535,0.029135799,C5
chr2,32509480,32509980,4.189441035,0.000122535,0.034768446,C5
chr2,42377270,42377770,4.028181647,0.000122535,0.03087826,C5
chr2,105050671,105051171,4.665564244,0.000122535,0.049151242,C5
chr2,109515062,109515562,3.863862404,0.000122535,0.027337162,C5
chr2,111667915,111668415,4.361448362,0.000122535,0.039426291,C5
chr2,112074017,112074517,3.537164708,0.000122535,0.021388998,C5
chr2,143789204,143789704,3.932502444,0.000122535,0.028767479,C5
chr2,155410526,155411026,3.990041367,0.000122535,0.030020031,C5
chr2,159741799,159742299,3.630411622,0.000122535,0.022951719,C5
chr2,169489602,169490102,4.113540627,0.000122535,0.032883229,C5
chr2,203410134,203410634,4.327991328,0.000122535,0.038476272,C5
chr2,203567758,203568258,4.210106684,0.000122535,0.035299152,C5
chr2,207663762,207664262,4.156839837,0.000122535,0.033946531,C5
chr2,210973478,210973978,4.05955473,0.000122535,0.031601421,C5
chr2,217951381,217951881,3.959400148,0.000122535,0.029346794,C5
chr2,234272335,234272835,4.303110374,0.000122535,0.037783921,C5
chr2,236144545,236145045,4.282779775,0.000122535,0.037226988,C5
chr2,242877332,242877832,4.053818064,0.000122535,0.031468012,C5
chr20,13010538,13011038,4.282992451,0.000122535,0.037232774,C5
chr21,15341261,15341761,5.335119271,0.000122535,0.079369787,C5
chr22,31871783,31872283,4.143670684,0.000122535,0.033619751,C5
chr22,37699798,37700298,1.113304912,0.000122535,0.120940077,C5
chr22,49113895,49114395,4.035561996,0.000122535,0.031046968,C5
chr3,14123709,14124209,4.21116376,0.000122535,0.035326504,C5
chr3,30116947,30117447,4.161523007,0.000122535,0.03406346,C5
chr3,34999089,34999589,4.092939991,0.000122535,0.032388433,C5
chr3,41886580,41887080,4.245091127,0.000122535,0.036215085,C5
chr3,44037292,44037792,3.967516964,0.000122535,0.029523744,C5
chr3,46379338,46379838,4.469014489,0.000122535,0.04263431,C5
chr3,72226751,72227251,4.329324379,0.000122535,0.038513705,C5
chr3,98279725,98280225,4.023890212,0.000122535,0.030780558,C5
chr3,119631797,119632297,3.983562742,0.000122535,0.029876491,C5
chr3,127498561,127499061,3.992669324,0.000122535,0.03007844,C5
chr3,129512190,129512690,3.876760288,0.000122535,0.027600761,C5
chr3,143133364,143133864,4.267159038,0.000122535,0.036804377,C5
chr3,187841886,187842386,3.631669383,0.000122535,0.022973496,C5
chr4,38324654,38325154,4.184667789,0.000122535,0.034646943,C5
chr4,38453556,38454056,4.381830855,0.000122535,0.040015948,C5
chr4,55941863,55942363,5.210093906,0.000122535,0.072613773,C5
chr4,89832915,89833415,4.155479149,0.000122535,0.033912628,C5
chr4,105979785,105980285,4.002793232,0.000122535,0.030304451,C5
chr4,166210044,166210544,3.641370265,0.000122535,0.023142096,C5
chr5,54751985,54752485,3.928596167,0.000122535,0.028684241,C5
chr5,65290186,65290686,4.084201676,0.000122535,0.032180676,C5
chr5,77702117,77702617,3.715015951,0.000122535,0.024459699,C5
chr5,123863186,123863686,4.313158846,0.000122535,0.038062099,C5
chr5,133387008,133387508,4.10027439,0.000122535,0.032563785,C5
chr5,139658046,139658546,3.966476839,0.000122535,0.029501013,C5
chr5,147133930,147134430,4.219807885,0.000122535,0.035550919,C5
chr6,2817971,2818471,4.325931077,0.000122535,0.038418488,C5
chr6,4914511,4915011,1.537835201,0.000122535,0.038789621,C5
chr6,21165198,21165698,4.122852696,0.000122535,0.03310922,C5
chr6,27694292,27694792,4.216223743,0.000122535,0.035457706,C5
chr6,28775395,28775895,4.502913226,0.000122535,0.043695876,C5
chr6,90963277,90963777,4.06635235,0.000122535,0.031760193,C5
chr6,105050934,105051434,4.053896345,0.000122535,0.031469829,C5
chr6,145043367,145043867,4.308884883,0.000122535,0.037943544,C5
chr6,146219477,146219977,4.262803553,0.000122535,0.036687355,C5
chr6,157877385,157877885,3.969347702,0.000122535,0.029563792,C5
chr6,162681062,162681562,5.354386882,0.000122535,0.08046401,C5
chr7,27260975,27261475,4.325986778,0.000122535,0.038420049,C5
chr7,42511309,42511809,4.170296207,0.000122535,0.034283532,C5
chr7,77516857,77517357,4.281943275,0.000122535,0.037204241,C5
chr7,80547720,80548220,3.932602736,0.000122535,0.028769619,C5
chr7,107310794,107311294,5.162415581,0.000122535,0.070187706,C5
chr7,110441520,110442020,5.226576423,0.000122535,0.073471294,C5
chr7,111832273,111832773,4.142522197,0.000122535,0.033591394,C5
chr7,155744422,155744922,4.080047999,0.000122535,0.032082362,C5
chr8,18882620,18883120,3.751056263,0.000122535,0.025129429,C5
chr8,22211315,22211815,3.788427827,0.000122535,0.025841794,C5
chr8,86018639,86019139,2.01113839,0.000122535,0.108496018,C5
chr8,100898781,100899281,4.020189889,0.000122535,0.030696547,C5
chr8,127793630,127794130,4.372849594,0.000122535,0.039755097,C5
chr8,128203368,128203868,4.760099255,0.000122535,0.052616359,C5
chr9,5579845,5580345,4.046515176,0.000122535,0.031298944,C5
chr9,21795381,21795881,4.35260038,0.000122535,0.039172904,C5
chr9,102717831,102718331,4.362392623,0.000122535,0.039453424,C5
chr9,114767118,114767618,3.782601335,0.000122535,0.025729514,C5
chr9,119395164,119395664,4.164042989,0.000122535,0.034126535,C5
chr9,124225235,124225735,3.831059651,0.000122535,0.026677283,C5
chrX,37619114,37619614,4.236834066,0.000122535,0.035996899,C5
chrX,39732345,39732845,4.190325244,0.000122535,0.034790997,C5
chrX,39762494,39762994,4.432017141,0.000122535,0.041503825,C5
chrX,56771475,56771975,4.053317026,0.000122535,0.031456385,C5
chrX,74281477,74281977,4.272451873,0.000122535,0.03694706,C5
chrX,77632609,77633109,4.403481757,0.000122535,0.040651491,C5
