Gene Name,correlation.E-score,pvalue.E-score,adjpvalue.E-score,MME Biomarkers(Reference),Gene Name,correlation.S-score,pvalue.S-score,adjpvalue.S-score,MMS biomarkers(Reference)
LSM4,0.327023468,0.008895428,0.042575091,,LOC100505817,0.392986702,0.001442495,0.010866044,
FLJ46284,0.326861862,0.008931152,0.042705415,,ARPC2,0.3928271,0.001449535,0.01090927,
WDR31,0.326637564,0.008980941,0.042886382,,STXBP5,0.392815925,0.001450029,0.010909722,
ZNF790-AS1,0.326479087,0.009016265,0.043022371,,MED19,0.392688806,0.00145566,0.01093788,
ICOSLG,0.326380751,0.009038244,0.043086355,,PKM,0.392682342,0.001455947,0.01093788,
ISM2,0.326321601,0.009051488,0.04310861,,SF3A3,0.392632661,0.001458154,0.010951184,
MPZL1,0.326263114,0.009064599,0.043162877,,TOR2A,0.392604111,0.001459423,0.01095484,
KIDINS220,0.326213909,0.009075643,0.043199096,,G3BP1,0.392429046,0.001467229,0.010999621,
ZFAND6,0.326161469,0.009087425,0.043238804,,MAP3K14,0.392254209,0.001475062,0.011048457,
ABCC2,0.326002203,0.009123291,0.043393031,,OSBPL10,0.392220682,0.001476568,0.011054659,
SFPQ,0.325936969,0.009138017,0.043454849,,BEND6,0.392216012,0.001476778,0.011054659,
SLC4A2,0.325861989,0.009154969,0.043502542,,OXCT2,0.392206423,0.001477209,0.011054659,
ZNF91,0.325817566,0.009165025,0.0435057,,SHROOM4,0.39213393,0.001480472,0.011069191,
CCDC172,0.325632229,0.009207084,0.043675876,,CHST3,0.39204516,0.001484476,0.011093273,
RN7SL1,0.325534114,0.009229417,0.043755285,,BARX1,0.391963442,0.001488171,0.011108736,
GPRC5D,0.325469241,0.00924421,0.043785887,,DPM1,0.391791386,0.001495978,0.011155264,
POGZ,0.325395538,0.009261041,0.043849083,,LOC100652958,0.391687227,0.001500722,0.011187319,
SMARCD2,0.325386888,0.009263018,0.043850184,,SNORD114-14,0.39157992,0.001505623,0.011217203,
HTR3D,0.325353267,0.009270706,0.043878315,,CFL2,0.391506274,0.001508995,0.011238996,
C15orf27,0.32529593,0.00928383,0.043932159,,S100A16,0.391465582,0.001510861,0.01124623,
RN5S405,0.325279469,0.009287601,0.043941731,,RNASEK-C17ORF49,0.391436926,0.001512177,0.011250983,
NIPAL3,0.325222144,0.009300743,0.043995628,,HOXB1,0.391392273,0.001514228,0.01126129,
PBXIP1,0.32517536,0.00931148,0.044029849,,CACNA1C-AS4,0.391367677,0.00151536,0.01126257,
CYB5D2,0.325152742,0.009316675,0.044046128,,HARS,0.391367658,0.001515361,0.01126257,
MGC32805,0.325121927,0.009323757,0.044063453,,MIR4462,0.391354011,0.001515988,0.01126257,
LOC100505536,0.325121526,0.009323849,0.044063453,,ADSL,0.391349575,0.001516193,0.01126257,
AP3B2,0.325111583,0.009326135,0.044063453,,SETD5,0.391330646,0.001517064,0.011265714,
CDY2A,0.3248955,0.009375937,0.044259703,,TSPAN9-IT1,0.391213446,0.00152247,0.011302522,
UBL4B,0.32487376,0.00938096,0.04426679,,NUPL1,0.391186755,0.001523704,0.01130834,
CAMK2D,0.324850446,0.009386349,0.044283908,,VAPB,0.391145746,0.001525601,0.011319078,
ANKRD17,0.324763146,0.009406555,0.044345943,,LOC100507307,0.391015359,0.001531647,0.011350808,
MAEL,0.324707455,0.009419464,0.044398476,,MPDZ,0.391014566,0.001531684,0.011350808,
RBM11,0.324538976,0.009458612,0.044557932,,LGALS4,0.390939415,0.001535179,0.011373352,
SNCA,0.324506266,0.009466229,0.044577107,,NASP,0.390905304,0.001536767,0.011381767,
FGFR1OP2,0.324481364,0.009472031,0.044596075,,NPFF,0.390805212,0.001541437,0.011409629,
LIPT2,0.324360429,0.009500253,0.044703832,,PRIC285,0.390718992,0.00154547,0.011436112,
CHI3L1,0.324307739,0.009512572,0.044745047,,METTL1,0.390663969,0.001548048,0.011451821,
SNORD115-32,0.323926232,0.009602184,0.045099049,,EMD,0.390563028,0.001552789,0.011480132,
NUBPL,0.323886963,0.00961145,0.045134134,,PSMC1,0.390478099,0.001556787,0.011506311,
AMELY,0.32387735,0.009613719,0.045136357,,C1QC,0.390409481,0.001560025,0.011526849,
KIAA0196-AS1,0.323707272,0.009653947,0.045291388,,HIST2H2AB,0.39038934,0.001560976,0.01153049,
ITGB5-AS1,0.323539376,0.009693801,0.045423948,,PDSS1,0.390285164,0.001565905,0.01156163,
TRIM77P,0.32347173,0.009709899,0.0454775,,BCAT1,0.390280809,0.001566112,0.01156163,
LOC100144603,0.323395874,0.009727979,0.045545205,,CCDC85B,0.390178156,0.001570983,0.011590785,
PSAPL1,0.323226204,0.009768524,0.045708815,,BCORL1,0.390147726,0.00157243,0.011594653,
SDHD,0.32322479,0.009768862,0.045708815,,MIR330,0.39011098,0.001574178,0.011604142,
SLC9C2,0.323177706,0.00978014,0.045746814,,HYLS1,0.390074892,0.001575897,0.011613407,
LIPI,0.323162864,0.009783697,0.045754938,,WDYHV1,0.389774854,0.001590254,0.011708909,
PIGG,0.323102447,0.00979819,0.045814191,,RRAGD,0.389665216,0.001595529,0.011744311,
SPATA17,0.322811327,0.009868283,0.04607337,,CASC3,0.389580999,0.001599592,0.011767326,
SLC30A9,0.322782763,0.009875184,0.046079914,,CD109,0.389536012,0.001601766,0.011779871,
LINC00116,0.322762234,0.009880146,0.046090582,,COG6,0.389506322,0.001603203,0.011786986,
STARD10-AS1,0.322758134,0.009881137,0.046090582,,CMKLR1,0.389373605,0.001609637,0.011827374,
FAM190A,0.322722532,0.009889749,0.046122192,,SCARF1,0.389284504,0.00161397,0.011851037,
SKP1P2,0.322684882,0.009898863,0.046156132,,OASL,0.389278303,0.001614272,0.011851037,
KLRC1,0.32265031,0.009907238,0.046178053,,RUNX1,0.389088797,0.001623524,0.011905051,
LOC100272228,0.322478286,0.009949004,0.046338356,,TEAD3,0.388830286,0.001636221,0.011991162,
HSD3B7,0.322425425,0.009961868,0.046383715,,DFNB31,0.388733238,0.001641011,0.012022759,
SNORD100,0.322413465,0.009964781,0.046386056,,CSTF1,0.388671747,0.001644052,0.012041531,
NAALADL2,0.32219493,0.010018133,0.046574034,,DDO,0.388491194,0.001653011,0.01209714,
FBXW4,0.322077585,0.010046883,0.04666454,,CCT4,0.388489649,0.001653088,0.01209714,
KLHDC1,0.321976716,0.010071653,0.046745043,,PLAUR,0.388455961,0.001654765,0.012105885,
SNORA8,0.321824616,0.010109105,0.04688424,,DNM1,0.38819695,0.001667706,0.012194993,
RBM26,0.321587515,0.010167728,0.04711266,,SYNM,0.388141842,0.001670471,0.012206579,
ADAL,0.321451963,0.010201376,0.047251148,,PPP1R3G,0.388113563,0.001671892,0.012213409,
CCDC85C,0.321416538,0.010210185,0.047283238,,NTHL1,0.388033476,0.00167592,0.012235728,
ARRDC4,0.321286731,0.010242521,0.047389334,,KLC2,0.38789441,0.001682937,0.01228099,
CNTFR,0.321078996,0.010294455,0.047591761,,SHMT2,0.387891244,0.001683097,0.01228099,
CYP4X1,0.321073869,0.010295739,0.047591761,,SGK494,0.3878511,0.001685128,0.012285108,
LOC100509683,0.320909474,0.010337004,0.047764941,,PIK3AP1,0.387827138,0.001686341,0.012290351,
MIR345,0.320875265,0.010345609,0.047795915,,EHMT1,0.387817582,0.001686825,0.012290351,
LOC100653329,0.320789451,0.010367222,0.047878167,,AP2A2,0.387769048,0.001689285,0.012304002,
KCTD18,0.320778969,0.010369865,0.047881574,,C1QA,0.387761312,0.001689677,0.012304002,
TTC23L,0.320769773,0.010372183,0.047883485,,NOVA2,0.387716528,0.00169195,0.012309858,
LOC339535,0.320727665,0.010382807,0.04792373,,EFEMP2,0.387696589,0.001692963,0.012313664,
GAS5-AS1,0.320643523,0.010404065,0.04799994,,TRAIP,0.387496558,0.001703156,0.01237348,
NFE2L1,0.320639639,0.010405047,0.04799994,,RIC8A,0.387407119,0.001707732,0.012399552,
SGK2,0.320620155,0.010409975,0.048005054,,DDHD1,0.387380839,0.001709078,0.012405745,
TUB,0.320528383,0.010433215,0.048072738,,ZC3H12D,0.387328956,0.001711739,0.012421474,
NARFL,0.320524438,0.010434215,0.048072738,,FNDC4,0.387213516,0.001717673,0.012460939,
STAC2,0.320405887,0.010464305,0.048184875,,RCC2,0.387200119,0.001718363,0.012462346,
SSR1,0.320340689,0.010480885,0.048252382,,XPO5,0.387167735,0.001720032,0.01247085,
HELZ,0.320255935,0.010502472,0.048325215,,DGKH,0.387143677,0.001721272,0.012476245,
TYSND1,0.320182135,0.010521301,0.048394136,,TEK,0.386489202,0.001755329,0.012682413,
SNORD8,0.320135968,0.010533095,0.048435795,,CD86,0.386380899,0.001761023,0.012713045,
LOC100506629,0.320080387,0.010547309,0.048487143,,BAZ2A,0.38635984,0.001762132,0.012717399,
WHAMMP3,0.320072011,0.010549452,0.048488129,,LOC654342,0.386334402,0.001763472,0.01272342,
ATP2B4,0.320032868,0.010559474,0.048507583,,TRAV34,0.38609595,0.001776082,0.012799704,
ZNF519,0.31998973,0.010570528,0.048549491,,ZNF35,0.386032568,0.001779447,0.012820282,
ZNF772,0.319961647,0.01057773,0.048573692,,SS18L2,0.385978107,0.001782343,0.012837468,
GABRB3,0.319634645,0.010661901,0.048910303,,MDP1,0.385967767,0.001782894,0.012837754,
SUMF1,0.319599181,0.010671064,0.048930781,,ITIH4,0.385663304,0.001799167,0.012943037,
TDGF1,0.319331573,0.01074043,0.049186045,,MATN2,0.385657826,0.001799461,0.012943037,
PDS5A,0.319244067,0.010763197,0.049281328,,PAPPA,0.385638982,0.001800473,0.012943037,
LOC100506730,0.319055017,0.010812526,0.049471145,,RNU7-71P,0.385636531,0.001800605,0.012943037,
TRAF5,0.319045455,0.010815026,0.04947358,,C20orf144,0.385621419,0.001801417,0.012945171,
HCG8,0.318912396,0.01084987,0.049614914,,C11orf83,0.385583019,0.001803481,0.012956301,
SLC25A36,0.318886908,0.010856555,0.049636456,,SYNDIG1,0.385545751,0.001805486,0.012967002,
EPB41L4A-AS1,0.318720332,0.010900336,0.049790268,,SFXN3,0.385223584,0.001822906,0.013080896,
POLL,0.318569472,0.010940119,0.049908934,,SLC22A3,0.385102568,0.001829488,0.013116894,
LOC100288997,0.3185595,0.010942753,0.049908934,,PSMA7,0.384804977,0.001845764,0.013214747,
RN5S63,0.318518217,0.010953663,0.049935118,,AMZ1,0.384674524,0.00185294,0.013254798,
IMMP1L,0.31847971,0.010963849,0.049963429,,PIGT,0.384657343,0.001853887,0.013255177,
,,,,,LOC100130193,0.384654428,0.001854048,0.013255177,
,,,,,TNFAIP3,0.384507003,0.001862192,0.013309615,
,,,,,ZBTB45,0.384456802,0.001864972,0.013321912,
,,,,,C16orf74,0.384410399,0.001867546,0.013331207,
,,,,,GTPBP4,0.384404654,0.001867865,0.013331207,
,,,,,HAVCR2,0.384382141,0.001869114,0.013336341,
,,,,,FUT11,0.384360419,0.001870321,0.013341163,
,,,,,PRKD3,0.384320325,0.00187255,0.013353274,
,,,,,SLC7A5P2,0.384150268,0.001882031,0.01340947,
,,,,,NCF2,0.384085697,0.001885642,0.013427588,
,,,,,ELOVL4,0.384074468,0.001886271,0.01342826,
,,,,,GTPBP2,0.384028635,0.001888838,0.013442733,
,,,,,RHOG,0.384007547,0.001890021,0.013447342,
,,,,,LIMK1,0.383862165,0.001898191,0.013497831,
,,,,,TRIM3,0.383835045,0.001899719,0.013504873,
,,,,,C17orf70,0.383740623,0.001905046,0.013537943,
,,,,,MMP13,0.383733507,0.001905448,0.013537943,
,,,,,ZNF469,0.383590184,0.001913561,0.013591745,
,,,,,ACOT9,0.383540304,0.001916392,0.013604398,
,,,,,CD58,0.383490837,0.001919203,0.013620272,
,,,,,JAK3,0.383449145,0.001921575,0.013628136,
,,,,,CTGF,0.383433258,0.00192248,0.013628136,
,,,,,MID1IP1,0.38336612,0.001926307,0.013651334,
,,,,,TRIM36,0.383356802,0.001926838,0.013651334,
,,,,,SYDE1,0.383258756,0.001932441,0.013679461,
,,,,,MMP17,0.383070931,0.001943214,0.013744112,
,,,,,UBE2N,0.38301853,0.001946229,0.013761566,
,,,,,RGS4,0.382942101,0.001950635,0.013788836,
,,,,,CREB5,0.382862452,0.001955235,0.013809706,
,,,,,PLEKHA5,0.382748698,0.001961822,0.013848448,
,,,,,PELP1,0.382726673,0.0019631,0.013853535,
,,,,,TRDMT1,0.382717278,0.001963645,0.013853535,
,,,,,HIST1H2AD,0.382688555,0.001965313,0.013861411,
,,,,,PANK3,0.382564728,0.001972517,0.013905098,
,,,,,ULK4P3,0.382558647,0.001972872,0.013905098,
,,,,,TAF6,0.38255359,0.001973166,0.013905098,
,,,,,UTP14A,0.382527319,0.001974698,0.013911993,
,,,,,FDPS,0.382483731,0.001977242,0.013926014,
,,,,,GTF3C4,0.38241157,0.001981461,0.013949932,
,,,,,LOC149773,0.382406658,0.001981748,0.013949932,
,,,,,MTBP,0.382283342,0.001988977,0.013981237,
,,,,,TTC39B,0.382249549,0.001990961,0.013991277,
,,,,,LINC00102,0.382237277,0.001991683,0.013992434,
,,,,,KIAA0513,0.382227016,0.001992286,0.013992762,
,,,,,CD300LF,0.382174788,0.001995359,0.014006518,
,,,,,HIF1A,0.381986147,0.002006494,0.014072891,
,,,,,DHX33,0.38194273,0.002009065,0.01408699,
,,,,,FOXL2,0.381807389,0.002017097,0.014135423,
,,,,,SLC2A10,0.381784572,0.002018454,0.01414099,
,,,,,FLNB-AS1,0.381719336,0.002022338,0.014156072,
,,,,,MSC,0.38171059,0.002022859,0.014156072,
,,,,,LOC728739,0.381699024,0.002023549,0.014156957,
,,,,,ARNTL,0.381624482,0.002027998,0.014180887,
,,,,,SMARCC1,0.381551784,0.002032345,0.014206633,
,,,,,LCOR,0.381533095,0.002033464,0.014210503,
,,,,,DLC1,0.381487555,0.002036193,0.014221665,
,,,,,LGMN,0.381332022,0.002045537,0.014275031,
,,,,,CEP128,0.381314464,0.002046594,0.014278446,
,,,,,MCTP1,0.381238561,0.002051171,0.014302275,
,,,,,MYO1G,0.381218141,0.002052403,0.014303094,
,,,,,C19orf73,0.381200526,0.002053467,0.014306542,
,,,,,FAM198B,0.381109512,0.002058972,0.014329009,
,,,,,LYST-IT2,0.381025119,0.002064088,0.014360639,
,,,,,ATP6V1B2,0.380969313,0.002067478,0.014376262,
,,,,,KIAA1958,0.380872419,0.002073374,0.014413278,
,,,,,HIATL1,0.380850012,0.00207474,0.014416932,
,,,,,MAPK14,0.380712973,0.002083111,0.014462118,
,,,,,APLNR,0.3807032,0.002083709,0.014462118,
,,,,,CUEDC1,0.380700858,0.002083852,0.014462118,
,,,,,GLDC,0.380659896,0.002086361,0.014475532,
,,,,,TIMM8A,0.380543389,0.002093511,0.014518075,
,,,,,TMED8,0.380535485,0.002093997,0.014518075,
,,,,,CYP51A1,0.380513466,0.002095351,0.014521873,
,,,,,SUGP2,0.380450332,0.002099238,0.0145448,
,,,,,FAM168A,0.380386359,0.002103183,0.014561085,
,,,,,RPL7A,0.38038404,0.002103326,0.014561085,
,,,,,SUCNR1,0.380204936,0.002114406,0.014633765,
,,,,,SCAF4,0.380169679,0.002116594,0.014644871,
,,,,,RN5S445,0.380097625,0.00212107,0.014663737,
,,,,,PUF60,0.380032345,0.002125133,0.014687787,
,,,,,SEPW1,0.38000156,0.002127052,0.014697005,
,,,,,RAD54B,0.379960991,0.002129583,0.014710447,
,,,,,UBXN1,0.379944274,0.002130626,0.014713191,
,,,,,POLA1,0.379913356,0.002132557,0.014713191,
,,,,,MIR1184-1,0.379913234,0.002132565,0.014713191,
,,,,,DDX60L,0.379907769,0.002132906,0.014713191,
,,,,,ASXL1,0.379606191,0.002151829,0.014819321,
,,,,,HSD17B1,0.379568073,0.002154231,0.014828235,
,,,,,GPR4,0.379566937,0.002154303,0.014828235,
,,,,,CDSN,0.379450373,0.002161664,0.01487076,
,,,,,CIZ1,0.379399631,0.002164876,0.014888779,
,,,,,CNTLN,0.379266303,0.002173335,0.014942866,
,,,,,RABEPK,0.37908484,0.002184895,0.015010033,
,,,,,DENND5B,0.378921441,0.002195352,0.015065399,
,,,,,C14orf182,0.3788765,0.002198236,0.015081072,
,,,,,MAPK8,0.378866896,0.002198852,0.015081187,
,,,,,LIMD2,0.378794916,0.002203479,0.015104679,
,,,,,DIMT1,0.378757403,0.002205894,0.01511711,
,,,,,AURKC,0.378738996,0.00220708,0.015118828,
,,,,,C3orf35,0.378721217,0.002208226,0.015120722,
,,,,,CDC42BPB,0.378617365,0.00221493,0.01515837,
,,,,,ZBTB24,0.37860326,0.002215842,0.015160483,
,,,,,PAQR8,0.378475163,0.002224139,0.015213111,
,,,,,FIBCD1,0.378443221,0.002226212,0.01522315,
,,,,,SLC35D2,0.378398592,0.002229112,0.015237852,
,,,,,CYP27B1,0.378258452,0.002238239,0.015288756,
,,,,,SRF,0.378231269,0.002240014,0.015296719,
,,,,,LOC100505573,0.378111929,0.002247818,0.015333351,
,,,,,TAF5,0.377663204,0.002277381,0.015513962,
,,,,,EMC6,0.377650139,0.002278247,0.015515657,
,,,,,UCKL1-AS1,0.377518644,0.002286978,0.015554052,
,,,,,CANT1,0.377468886,0.00229029,0.015572363,
,,,,,FEZ1,0.377204647,0.00230795,0.015662779,
,,,,,QRICH1,0.376918648,0.0023272,0.015784899,
,,,,,VAMP1,0.376685167,0.002343022,0.01587508,
,,,,,SYTL4,0.376654645,0.002345098,0.01588486,
,,,,,PRIM1,0.376619983,0.002347456,0.015896555,
,,,,,CCL13,0.376513232,0.002354735,0.015937255,
,,,,,PDRG1,0.376414784,0.002361465,0.015978502,
,,,,,EMR2,0.376073127,0.002384954,0.016124417,
,,,,,CAMK2G,0.376032743,0.002387744,0.016138939,
,,,,,CXCL13,0.37602298,0.002388419,0.016139162,
,,,,,GGH,0.375837043,0.002401306,0.016217506,
,,,,,GPR162,0.375746959,0.002407572,0.016251113,
,,,,,CEP57L1,0.375618517,0.002416532,0.016302833,
,,,,,ENTPD7,0.375538296,0.002422143,0.01633192,
,,,,,OPTN,0.375454003,0.002428051,0.016367367,
,,,,,C9orf135,0.375421149,0.002430357,0.016375648,
,,,,,PGK1,0.375417944,0.002430582,0.016375648,
,,,,,RIN3,0.37537269,0.002433762,0.01639268,
,,,,,DEGS1,0.375306581,0.002438415,0.016415219,
,,,,,ANXA5,0.375256891,0.002441917,0.016434394,
,,,,,C10orf47,0.375129727,0.0024509,0.016485987,
,,,,,NR0B1,0.375102004,0.002452862,0.016485987,
,,,,,MDFI,0.375036003,0.002457539,0.016513008,
,,,,,STAT2,0.374937998,0.002464499,0.016546505,
,,,,,LEO1,0.374851526,0.002470655,0.016578977,
,,,,,ALS2,0.374637482,0.002485951,0.016668269,
,,,,,PHLDA2,0.374611274,0.002487829,0.016676417,
,,,,,MOSPD1,0.374597264,0.002488834,0.01667839,
,,,,,VMO1,0.374588671,0.002489451,0.01667839,
,,,,,BAG2,0.374487338,0.002496731,0.016718251,
,,,,,DGKE,0.374374156,0.002504884,0.016754995,
,,,,,SF3B3,0.374352499,0.002506447,0.016760989,
,,,,,GATA3,0.374337972,0.002507496,0.016763543,
,,,,,SLC1A1,0.374305367,0.002509851,0.016774829,
,,,,,PPP1R37,0.374113786,0.002523731,0.016858633,
,,,,,RNF216,0.373885241,0.002540379,0.016947322,
,,,,,SKI,0.373768249,0.002548939,0.016999865,
,,,,,SH3RF3,0.373743614,0.002550745,0.016999865,
,,,,,NFKBIE,0.37373001,0.002551742,0.017000569,
,,,,,ALOX5,0.373686709,0.00255492,0.017012722,
,,,,,COPS3,0.373646524,0.002557872,0.017027869,
,,,,,ABCF1,0.373588399,0.002562148,0.017051816,
,,,,,NOP2,0.373531718,0.002566323,0.017066051,
,,,,,MEIS3,0.373499653,0.002568688,0.017077259,
,,,,,FAM160B2,0.373489412,0.002569444,0.017077766,
,,,,,RASGRF2,0.373457072,0.002571832,0.017088375,
,,,,,RNF185,0.373440182,0.002573079,0.017088375,
,,,,,TRIM32,0.373411589,0.002575193,0.017097894,
,,,,,SUPT5H,0.373335748,0.002580807,0.017130437,
,,,,,STK38L,0.373230118,0.002588644,0.017161931,
,,,,,NOSIP,0.373226205,0.002588934,0.017161931,
,,,,,FAM78A,0.373146476,0.002594864,0.017192173,
,,,,,RN5S294,0.372882673,0.002614571,0.01729994,
,,,,,LRFN3,0.372842378,0.002617593,0.017315377,
,,,,,FLII,0.372784753,0.00262192,0.017334877,
,,,,,USP10,0.372745407,0.002624878,0.017345309,
,,,,,PLBD2,0.372668292,0.002630684,0.017374542,
,,,,,CUBN,0.372640554,0.002632775,0.017383787,
,,,,,SIGLEC1,0.372554048,0.002639307,0.017422336,
,,,,,PFKFB2,0.372537309,0.002640572,0.017426114,
,,,,,ERH,0.372436099,0.002648236,0.017467515,
,,,,,ABI1,0.372396396,0.002651247,0.017482792,
,,,,,CCDC22,0.372339117,0.002655597,0.017506885,
,,,,,SLC17A9,0.372322095,0.002656891,0.017509257,
,,,,,NANS,0.372304156,0.002658256,0.017510633,
,,,,,FBXO17,0.372273203,0.002660611,0.017520495,
,,,,,LOC100129961,0.372266168,0.002661147,0.017520495,
,,,,,BRD9,0.372241891,0.002662996,0.017528078,
,,,,,SLC25A15,0.372218045,0.002664813,0.017531874,
,,,,,LYAR,0.372213299,0.002665175,0.017531874,
,,,,,LITAF,0.372110843,0.002672997,0.0175755,
,,,,,RAD1,0.372034433,0.002678844,0.017604734,
,,,,,ORAI2,0.371968878,0.00268387,0.017625161,
,,,,,CCM2,0.371959603,0.002684581,0.017625161,
,,,,,CHRNB1,0.371865713,0.002691795,0.01765753,
,,,,,RNF166,0.371794745,0.002697259,0.017688757,
,,,,,GRIK4,0.371753002,0.002700478,0.017705246,
,,,,,ADCK5,0.371727088,0.002702478,0.017713051,
,,,,,SGCB,0.371637389,0.00270941,0.01774992,
,,,,,IPO7,0.371627976,0.002710139,0.017750066,
,,,,,RRP9,0.371584197,0.002713529,0.017767639,
,,,,,ZCCHC5,0.371570512,0.002714589,0.017769954,
,,,,,ACAN,0.371498857,0.002720148,0.017797072,Bueno2016(Sup.Table 2-Top50)
,,,,,MPP1,0.371466075,0.002722694,0.017804465,
,,,,,BCL7A,0.371377633,0.002729575,0.017844817,
,,,,,CRYBB1,0.371294833,0.002736031,0.017868433,
,,,,,GADD45A,0.371258154,0.002738895,0.017882492,
,,,,,CPOX,0.371139048,0.002748214,0.017929366,
,,,,,RBM12,0.371115642,0.002750048,0.017932026,
,,,,,GRPEL2,0.370907339,0.002766424,0.018029451,
,,,,,OSBPL3,0.370893241,0.002767535,0.018030647,
,,,,,INPP4B,0.370886816,0.002768042,0.018030647,
,,,,,C3orf65,0.370826147,0.00277283,0.018047806,
,,,,,DYNLT1,0.370797273,0.002775111,0.01805798,
,,,,,MIR1245A,0.370737368,0.00277985,0.018079454,
,,,,,IGSF21,0.370660444,0.002785945,0.01811441,
,,,,,MSANTD2,0.370597784,0.002790919,0.018142058,
,,,,,PCDH12,0.370537671,0.002795699,0.018168427,
,,,,,KDELR2,0.370396715,0.002806934,0.018227303,
,,,,,LOC440900,0.370244906,0.002819079,0.01830107,
,,,,,SLC4A1AP,0.37022523,0.002820656,0.018302229,
,,,,,TRIML2,0.370185596,0.002823836,0.018311821,
,,,,,ME3,0.370170988,0.002825009,0.018311821,
,,,,,LOC100506939,0.370170499,0.002825048,0.018311821,
,,,,,NLE1,0.370157148,0.002826121,0.01831405,
,,,,,FANCM,0.370084652,0.00283195,0.018343243,
,,,,,CSMD2,0.370082973,0.002832085,0.018343243,
,,,,,LOC100506757,0.370068139,0.002833279,0.01834625,
,,,,,MTRF1L,0.370006582,0.00283824,0.018373636,
,,,,,ZNF142,0.36995079,0.002842742,0.018398044,
,,,,,OPHN1,0.369935535,0.002843974,0.01840128,
,,,,,RAMP2,0.369892183,0.002847478,0.018412893,
,,,,,FAM122B,0.369886149,0.002847966,0.018412893,
,,,,,ADNP2,0.369837203,0.002851928,0.018433764,
,,,,,SOX14,0.36976314,0.002857932,0.018467821,
,,,,,MIR2355,0.369674017,0.002865171,0.018505088,
,,,,,MIR4475,0.369636634,0.002868212,0.018519973,
,,,,,SLCO2A1,0.369589439,0.002872056,0.018540031,
,,,,,NCS1,0.369545241,0.00287566,0.01855853,
,,,,,CCDC86,0.369495995,0.002879681,0.018579705,
,,,,,PQLC1,0.369472902,0.002881568,0.01858236,
,,,,,XPR1,0.369472865,0.002881571,0.01858236,
,,,,,MIR3182,0.369407878,0.002886887,0.018611868,
,,,,,FUBP3,0.36922881,0.00290158,0.018692215,
,,,,,PBRM1,0.369171159,0.002906325,0.018713189,
,,,,,LOC100509445,0.369129076,0.002909793,0.01873072,
,,,,,SFMBT1,0.369108842,0.002911461,0.018736663,
,,,,,TMPO,0.369084123,0.002913501,0.018744991,
,,,,,VTI1A,0.369053229,0.002916052,0.018756603,
,,,,,CLASP1,0.368954431,0.002924224,0.018804351,
,,,,,BUD13,0.368892015,0.002929397,0.018832798,
,,,,,SLC52A2,0.368861371,0.002931939,0.018839508,
,,,,,CENPW,0.368824151,0.00293503,0.018854549,
,,,,,COL5A3,0.368806088,0.002936531,0.018859372,
,,,,,SYNJ1,0.368710897,0.002944453,0.018891166,
,,,,,CDH6,0.368707837,0.002944708,0.018891166,
,,,,,TXNDC9,0.368701463,0.002945239,0.018891166,
,,,,,TMEM233,0.368593134,0.00295428,0.018929832,
,,,,,MFGE8,0.368509594,0.002961268,0.018964944,
,,,,,TMEM150B,0.368387122,0.002971541,0.019021038,
,,,,,RPF2,0.368345356,0.002975051,0.01903866,
,,,,,ACD,0.368309948,0.00297803,0.019052872,
,,,,,ATAD3C,0.368163136,0.002990409,0.019118486,
,,,,,KIF13B,0.368158339,0.002990814,0.019118486,
,,,,,WDR82,0.368158051,0.002990839,0.019118486,
,,,,,CAPRIN1,0.368003491,0.003003923,0.019194103,
,,,,,SMCHD1,0.367985975,0.003005409,0.019198718,
,,,,,MECOM,0.367922217,0.003010823,0.019226924,
,,,,,ATP13A2,0.36790099,0.003012628,0.019230173,
,,,,,ADM,0.367888307,0.003013706,0.019232174,
,,,,,POLR2A,0.367863897,0.003015783,0.019240544,
,,,,,USP11,0.367777847,0.003023115,0.019282428,
,,,,,GPR124,0.36775613,0.003024968,0.019289352,
,,,,,ATXN2L,0.367699114,0.003029838,0.019315503,
,,,,,PSMB6,0.367581552,0.0030399,0.019364919,
,,,,,IL12RB2,0.367519534,0.00304522,0.019384215,
,,,,,PAPOLG,0.367519277,0.003045243,0.019384215,
,,,,,SLC25A28,0.367222312,0.003070833,0.01952239,
,,,,,HSPA7,0.367192907,0.003073377,0.019533625,
,,,,,SEMA6B,0.367028585,0.00308763,0.019579587,
,,,,,SLC5A4,0.367021633,0.003088234,0.019579587,
,,,,,C9orf100,0.36701975,0.003088398,0.019579587,
,,,,,TSR1,0.367002362,0.00308991,0.019584233,
,,,,,FGD2,0.366954079,0.003094112,0.019605922,
,,,,,DBF4B,0.366924632,0.003096677,0.019612288,
,,,,,SCUBE3,0.366839766,0.00310408,0.019654223,
,,,,,IGFBPL1,0.366757357,0.003111284,0.019694875,
,,,,,PSMB7,0.366595619,0.003125466,0.019774688,
,,,,,TREM1,0.366530054,0.003131231,0.01980618,
,,,,,LENG1,0.366426258,0.003140378,0.019854043,
,,,,,IGFBP4,0.366264835,0.003154649,0.019929234,
,,,,,UBP1,0.366092358,0.003169962,0.020000837,
,,,,,PSMD2,0.366053073,0.003173459,0.020012855,
,,,,,NRARP,0.365961993,0.00318158,0.020059034,
,,,,,PRR12,0.365916072,0.003185681,0.020079856,
,,,,,DCLK2,0.36589234,0.003187803,0.020083156,
,,,,,PSMD8,0.365851558,0.003191451,0.020101103,
